cloud_clear,cloud_cloudy,cloud_overcast,cloud_partly cloudy,location_coastal,location_inland,location_mountain,season_Autumn,season_Spring,season_Summer,season_Winter,Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),Weather Type
0,0,0,1,0,1,0,0,0,0,1,14,73,9.5,82,1010.82,2,3.5,1
0,0,0,1,0,1,0,0,1,0,0,39,96,8.5,71,1011.43,7,10,0
1,0,0,0,0,0,1,0,1,0,0,30,64,7,16,1018.72,5,5.5,3
1,0,0,0,1,0,0,0,1,0,0,38,83,1.5,82,1026.25,7,1,3
0,0,1,0,0,0,1,0,0,0,1,27,74,17,66,990.67,1,2.5,1
0,0,1,0,0,1,0,0,0,1,0,32,55,3.5,26,1010.03,2,5,0
0,0,1,0,0,1,0,0,0,0,1,-2,97,8,86,990.87,1,4,2
0,0,0,1,0,1,0,0,0,0,1,3,85,6,96,984.46,1,3.5,2
0,0,1,0,0,0,1,0,0,0,1,3,83,6,66,999.44,0,1,2
1,0,0,0,1,0,0,0,0,0,1,28,74,8.5,107,1012.13,8,7.5,3
0,0,0,1,0,0,1,0,1,0,0,35,45,6,86,879.88,2,1,0
1,0,0,0,0,1,0,1,0,0,0,38,43,2,16,1029.16,11,7.5,3
0,0,0,1,0,0,1,1,0,0,0,12,59,10.5,25,1016.08,3,5.5,0
0,0,1,0,0,1,0,0,0,0,1,-10,87,15,67,986.19,0,1.5,2
1,0,0,0,1,0,0,0,0,0,1,24,21,3.5,8,1018.88,8,5.5,3
0,0,0,1,0,0,1,0,0,1,0,10,50,6.5,46,1000.44,2,8.5,0
0,0,0,1,0,1,0,0,1,0,0,30,27,7,13,1016.38,5,7.5,3
0,0,1,0,1,0,0,1,0,0,0,33,51,0.5,27,1009.18,3,5.5,0
1,0,0,0,0,0,1,0,1,0,0,43,46,0.5,15,1025.8,9,6,3
1,0,0,0,0,1,0,0,0,1,0,13,102,12,72,1012.25,4,8,3
0,0,1,0,0,0,1,0,0,0,1,-10,67,8.5,75,991.53,1,3,2
0,0,1,0,0,1,0,0,0,0,1,-7,88,12.5,98,980.31,1,3,2
1,0,0,0,0,0,1,0,0,1,0,33,36,7.5,18,1014.29,8,9.5,3
0,0,1,0,0,1,0,0,0,1,0,26,73,13.5,29,1012.02,1,9,0
0,0,0,1,0,0,1,0,1,0,0,38,83,7,101,1017.94,4,8.5,0
0,0,0,1,0,1,0,0,0,0,1,4,79,1,85,982.53,1,4.5,2
0,0,1,0,0,0,1,0,0,1,0,17,72,7.5,62,1010.16,2,3,1
0,0,0,1,1,0,0,0,0,0,1,40,57,4,12,1020.73,11,9.5,3
0,0,0,1,0,0,1,1,0,0,0,24,61,6.5,3,1018.15,7,5.5,3
0,0,0,1,0,0,1,0,0,0,1,30,70,16,54,1007.75,0,3,1
0,0,1,0,1,0,0,0,1,0,0,28,85,7,97,991.07,1,2,1
0,0,1,0,0,1,0,0,0,0,1,2,61,16.5,63,995.74,0,1,2
0,0,1,0,0,1,0,0,0,0,1,4,95,2.5,56,984.63,1,4.5,2
0,0,1,0,0,0,1,0,0,0,1,15,97,23,91,1009.36,13,2.5,1
1,0,0,0,0,1,0,0,0,0,1,29,69,3,15,1012.09,10,5.5,3
1,0,0,0,1,0,0,1,0,0,0,35,21,10,6,1026.81,5,7.5,3
0,0,0,1,0,0,1,0,0,0,1,11,90,25.5,76,996.17,0,1,1
0,0,1,0,0,0,1,0,0,0,1,2,105,19,109,991.68,7,3.5,2
0,0,0,1,0,0,1,0,1,0,0,-9,49,1.5,58,1132.2,8,16.5,2
0,0,0,1,1,0,0,1,0,0,0,27,64,11.5,37,1017.27,3,8,0
0,0,0,1,0,1,0,0,0,0,1,32,37,0.5,9,1013.99,11,8.5,3
1,0,0,0,0,0,1,0,0,1,0,36,22,1,0,1028.63,10,5.5,3
0,0,0,1,0,0,1,0,0,0,1,28,54,15,39,1018.86,3,8.5,0
0,0,0,1,0,0,1,1,0,0,0,42,64,2,18,1028.55,8,8,3
1,0,0,0,0,0,1,0,1,0,0,21,43,10,11,1019.41,11,6,3
1,0,0,0,1,0,0,0,0,1,0,22,50,0,18,1016.5,5,8,3
0,0,0,1,0,0,1,1,0,0,0,33,66,9,18,1014.34,3,6,0
0,0,0,1,0,0,1,0,0,0,1,26,25,2.5,14,1010.34,8,5,3
0,0,1,0,0,0,1,0,0,1,0,26,91,9.5,82,1019.42,3,4,1
0,0,1,0,0,0,1,0,0,0,1,-2,98,18.5,86,981.26,0,3.5,2
0,0,1,0,0,1,0,0,0,0,1,17,90,11,98,1017.49,3,4,1
0,0,0,1,0,1,0,0,0,1,0,25,55,8.5,37,1014.49,4,7.5,0
0,0,0,1,0,0,1,0,0,0,1,-4,96,20,88,990.72,1,4.5,2
0,0,1,0,0,1,0,0,0,0,1,-1,87,14,78,984.11,0,4,2
0,0,1,0,0,1,0,0,0,0,1,-5,94,5.5,55,991.65,0,3,2
0,0,1,0,1,0,0,1,0,0,0,22,95,13,90,997.97,3,2.5,1
0,0,1,0,0,0,1,0,0,1,0,41,85,9,101,1017.89,3,7.5,0
1,0,0,0,1,0,0,0,0,0,1,33,41,0,4,1018.56,7,9.5,3
0,0,1,0,0,1,0,0,1,0,0,31,70,0.5,69,1074.07,3,12.5,3
0,0,1,0,1,0,0,0,1,0,0,16,84,18.5,54,996.12,0,3,1
0,0,1,0,1,0,0,0,1,0,0,10,64,14,18,1011.96,1,8.5,0
0,0,1,0,0,0,1,0,0,0,1,29,63,6,68,992.45,0,3,1
0,0,0,1,0,1,0,1,0,0,0,15,55,1.5,32,1009.01,2,5.5,0
0,0,1,0,0,1,0,0,0,0,1,3,75,46.5,87,996.85,5,4.5,2
0,0,0,1,0,0,1,1,0,0,0,24,52,9,29,1007.84,1,8,0
0,0,1,0,0,0,1,0,0,0,1,25,85,9,67,995.4,1,2,1
0,0,0,1,0,0,1,0,0,1,0,25,89,1.5,87,1017.16,11,6.5,3
1,0,0,0,0,0,1,0,0,1,0,24,47,8,17,1025.22,5,6,3
0,0,0,1,0,1,0,0,0,0,1,2,97,2,89,993.14,0,3,2
1,0,0,0,0,0,1,0,0,1,0,21,54,3,17,1026.15,7,8,3
0,0,1,0,0,1,0,0,0,0,1,2,81,13.5,57,983.36,1,4,2
0,0,0,1,0,0,1,0,0,0,1,21,75,3.5,41,1017.74,2,8,0
0,0,1,0,0,1,0,0,0,1,0,11,52,6,97,1063.39,7,12.5,2
0,0,1,0,0,1,0,0,1,0,0,31,62,6.5,84,1013.61,0,4.5,1
1,0,0,0,1,0,0,0,0,1,0,33,31,6.5,18,1022.53,7,8.5,3
1,0,0,0,0,1,0,0,1,0,0,34,47,5,4,1027.53,9,10,3
0,0,0,1,0,0,1,1,0,0,0,21,66,13.5,29,1018.98,3,8.5,0
0,0,1,0,0,0,1,0,0,0,1,28,68,18,90,992.83,3,5,1
0,0,0,1,0,1,0,0,0,1,0,33,62,10,83,1009.48,1,3.5,1
0,0,1,0,0,0,1,1,0,0,0,25,96,6,90,1006.67,0,4.5,1
0,0,0,1,1,0,0,0,0,1,0,27,73,9.5,47,1017.82,1,7,0
0,0,0,1,1,0,0,0,0,1,0,49,75,11.5,82,1029.09,10,7,3
0,0,0,1,0,1,0,0,0,0,1,-5,73,12,63,983.83,1,4.5,2
0,0,1,0,0,0,1,0,0,1,0,31,62,5.5,99,1019.92,0,4.5,1
0,0,1,0,0,1,0,0,0,0,1,2,91,6.5,92,999.46,0,2.5,2
0,0,0,1,1,0,0,0,0,0,1,32,35,2.5,63,1160.48,2,0,3
0,0,1,0,0,1,0,0,0,0,1,-7,78,10,96,999.99,7,1,2
1,0,0,0,0,0,1,0,0,1,0,27,43,1,8,1022.48,9,9,3
0,0,0,1,0,0,1,0,0,0,1,12,56,9.5,19,1014.4,4,6.5,0
0,0,1,0,0,1,0,0,0,0,1,-7,93,9,60,995.63,1,4,2
0,0,0,1,0,1,0,0,0,0,1,15,81,28.5,71,1008,4,6,0
0,0,0,1,1,0,0,0,0,1,0,30,64,6,67,1009.12,3,4,1
0,0,1,0,0,1,0,0,0,0,1,19,93,14.5,57,1018.44,0,4,1
0,0,0,1,1,0,0,0,0,0,1,14,44,9,11,853.01,14,3.5,1
0,0,0,1,0,1,0,1,0,0,0,32,38,11,15,824.71,9,12.5,2
0,0,0,1,0,0,1,0,1,0,0,17,88,18,83,1026.94,0,5.5,3
0,0,1,0,0,0,1,0,0,0,1,23,88,11.5,65,1000.74,1,5,1
0,0,0,1,1,0,0,0,0,0,1,28,35,9.5,0,1023.62,9,10,3
0,0,1,0,0,0,1,0,0,0,1,-4,87,5,54,981.02,1,4.5,2
0,0,0,1,0,1,0,0,0,0,1,31,72,17,96,1013.85,13,3.5,0
1,0,0,0,0,0,1,1,0,0,0,40,66,8,5,1019.82,5,5.5,3
